iter	Passed	Remaining
935	67618	4623
936	67678	4550
937	67748	4478
938	67823	4405
939	67862	4331
940	67916	4258
941	67980	4185
942	68028	4112
943	68113	4040
944	68266	3973
945	68353	3901
946	68437	3830
947	68530	3759
948	68568	3684
949	68648	3613
950	68739	3541
951	68798	3468
952	68900	3398
953	68979	3326
954	69023	3252
955	69082	3179
956	69157	3107
957	69274	3037
958	69314	2963
959	69358	2889
960	69390	2816
961	69431	2742
962	69494	2670
963	69543	2597
964	69578	2523
965	69625	2450
966	69686	2378
967	69757	2306
968	69854	2234
969	69955	2163
970	70055	2092
971	70089	2019
972	70209	1948
973	70388	1878
974	70435	1806
975	70544	1734
976	70613	1662
977	70717	1590
978	70897	1520
979	71076	1450
980	71216	1379
981	71313	1307
982	71392	1234
983	71552	1163
984	71670	1091
985	71767	1019
986	71811	945
987	71915	873
988	72019	801
989	72124	728
990	72190	655
991	72259	582
992	72325	509
993	72363	436
994	72457	364
995	72543	291
996	72626	218
997	72662	145
998	72753	72
999	72822	0
