iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
302	253	276	253	342	253	276	342
303	254	277	254	342	254	277	342
304	254	277	254	342	254	277	342
305	254	277	254	342	254	277	342
306	254	277	254	342	254	277	342
307	254	277	254	342	254	277	342
308	253	276	253	342	253	276	342
309	254	277	254	342	254	277	342
310	253	276	253	342	253	276	342
311	253	276	253	342	253	276	342
312	253	276	253	342	253	276	342
313	253	276	253	342	253	276	342
314	253	276	253	342	253	276	342
315	254	277	254	342	254	277	342
316	255	279	255	342	255	279	342
317	255	279	255	342	255	279	342
318	255	279	255	342	255	279	342
319	255	279	255	342	255	279	342
320	256	280	256	342	256	280	342
321	254	278	254	342	254	278	342
322	257	281	257	342	257	281	342
323	257	281	257	342	257	281	342
324	258	282	258	342	258	282	342
325	257	281	257	342	257	281	342
326	257	281	257	342	257	281	342
327	256	280	256	342	256	280	342
328	256	280	256	342	256	280	342
329	256	280	256	342	256	280	342
330	256	280	256	342	256	280	342
331	256	280	256	342	256	280	342
332	256	280	256	342	256	280	342
333	256	280	256	342	256	280	342
334	256	280	256	342	256	280	342
335	256	280	256	342	256	280	342
336	256	280	256	342	256	280	342
337	256	280	256	342	256	280	342
338	256	280	256	342	256	280	342
339	256	280	256	342	256	280	342
340	256	280	256	342	256	280	342
341	256	280	256	342	256	280	342
342	256	280	256	342	256	280	342
343	256	280	256	342	256	280	342
344	256	280	256	342	256	280	342
345	256	280	256	342	256	280	342
346	256	280	256	342	256	280	342
347	256	280	256	342	256	280	342
348	256	280	256	342	256	280	342
349	256	280	256	342	256	280	342
350	256	281	256	342	256	281	342
351	256	281	256	342	256	281	342
352	256	281	256	342	256	281	342
353	256	281	256	342	256	281	342
354	257	282	257	342	257	282	342
355	256	281	256	342	256	281	342
356	256	281	256	342	256	281	342
357	257	282	257	342	257	282	342
358	257	282	257	342	257	282	342
359	257	281	257	342	257	281	342
360	258	282	258	342	258	282	342
361	258	283	258	342	258	283	342
362	258	283	258	342	258	283	342
363	258	282	258	342	258	282	342
364	258	283	258	342	258	283	342
365	258	283	258	342	258	283	342
366	258	283	258	342	258	283	342
367	258	283	258	342	258	283	342
368	258	283	258	342	258	283	342
369	258	283	258	342	258	283	342
370	258	283	258	342	258	283	342
371	258	283	258	342	258	283	342
372	258	283	258	342	258	283	342
373	258	283	258	342	258	283	342
374	258	283	258	342	258	283	342
375	258	283	258	342	258	283	342
376	258	283	258	342	258	283	342
377	258	283	258	342	258	283	342
378	258	283	258	342	258	283	342
379	258	283	258	342	258	283	342
380	258	283	258	342	258	283	342
381	258	283	258	342	258	283	342
382	258	283	258	342	258	283	342
383	258	283	258	342	258	283	342
384	259	284	259	342	259	284	342
385	259	284	259	342	259	284	342
386	259	284	259	342	259	284	342
387	259	284	259	342	259	284	342
388	259	284	259	342	259	284	342
389	258	282	258	342	258	282	342
390	259	283	259	342	259	283	342
391	259	283	259	342	259	283	342
392	259	283	259	342	259	283	342
393	259	283	259	342	259	283	342
394	259	283	259	342	259	283	342
395	259	283	259	342	259	283	342
396	259	283	259	342	259	283	342
397	259	283	259	342	259	283	342
398	259	283	259	342	259	283	342
399	260	284	260	342	260	284	342
400	260	284	260	342	260	284	342
401	260	283	260	342	260	283	342
402	260	284	260	342	260	284	342
403	259	283	259	342	259	283	342
404	260	284	260	342	260	284	342
405	259	284	259	342	259	284	342
406	259	284	259	342	259	284	342
407	260	284	260	342	260	284	342
408	260	284	260	342	260	284	342
409	260	284	260	342	260	284	342
410	260	284	260	342	260	284	342
411	259	282	259	342	259	282	342
412	259	282	259	342	259	282	342
413	259	282	259	342	259	282	342
414	259	282	259	342	259	282	342
415	261	284	261	342	261	284	342
416	260	283	260	342	260	283	342
417	260	283	260	342	260	283	342
418	260	283	260	342	260	283	342
419	260	283	260	342	260	283	342
420	260	283	260	342	260	283	342
421	260	283	260	342	260	283	342
422	260	282	260	342	260	282	342
